step,train_loss,train_mean_token_accuracy,valid_loss,valid_mean_token_accuracy,full_valid_loss,full_valid_mean_token_accuracy
1,1.170532584,0.808510661,1.590323925,0.645833333,,
2,1.466442108,0.666666687,1.857563532,0.717948718,,
3,0.829460144,0.807692289,1.938989884,0.692307692,,
4,1.502335668,0.714285731,0.860180325,0.814814815,,
5,1.616696954,0.710526288,1.007291909,0.742424242,,
6,1.591538787,0.692307711,1.374101137,0.710526316,,
7,1.109976053,0.776119411,1.167656244,0.745098039,,
8,0.953139424,0.777777791,1.070703169,0.75,,
9,0.748410821,0.826666653,1.310993328,0.68,,
10,1.784542084,0.71875,1.356974357,0.714285714,,
11,1.364290476,0.745098054,1.203514576,0.725,,
12,1.039964199,0.783333361,0.866824949,0.837209302,,
13,1.236344337,0.735849082,1.325031329,0.717948718,,
14,1.195338726,0.735294104,1.017586099,0.765957447,,
15,1.151056051,0.774999976,1.08602942,0.743589744,,
16,0.737950206,0.803030312,1.100118987,0.775510204,,
17,0.92153573,0.744680822,1.221432815,0.756756757,,
18,0.733203053,0.782608688,0.845986958,0.724137931,,
19,1.06170547,0.710526288,0.884452487,0.860465116,,
20,0.707778037,0.898305058,0.849906802,0.770833333,,
21,1.020801187,0.784313738,0.787569886,0.833333333,,
22,0.950369716,0.75,0.820885814,0.790697674,,
23,0.807572126,0.826923072,0.863683979,0.791666667,,
24,0.748617351,0.816326559,0.93314523,0.794871795,,
25,0.679293096,0.75757575,0.986070486,0.743589744,,
26,0.809994817,0.809523821,0.555889742,0.851851852,,
27,0.466587991,0.868852437,0.590813406,0.863636364,,
28,0.432783961,0.829268277,0.523848132,0.815789474,,
29,0.59686017,0.783783793,0.525510751,0.784313725,,
30,0.527316093,0.754098356,0.418711464,0.8125,,
31,0.685443044,0.783783793,0.607856102,0.8,,
32,0.535631716,0.823529422,0.570163291,0.771428571,,
33,0.559274256,0.840909064,0.494788504,0.775,,
34,0.469300836,0.846153855,0.257995561,0.930232558,,
35,0.500666738,0.867924511,0.4386985,0.871794872,,
36,0.537767828,0.816326559,0.331546459,0.936170213,,
37,0.654806733,0.736842096,0.464725641,0.820512821,,
38,0.43489036,0.862745106,0.43043339,0.897959184,,
39,0.303639948,0.864864886,0.55247379,0.837837838,,
40,0.2463146,0.901639342,0.412939105,0.844827586,,
41,0.439208835,0.819999993,0.268636925,0.906976744,,
42,0.368122905,0.850000024,0.414519469,0.833333333,,
43,0.277673572,0.931506872,0.467563538,0.857142857,,
44,0.700750768,0.779661,0.358957867,0.860465116,,
45,0.354709059,0.869565189,0.384420435,0.854166667,,
46,0.338714868,0.837209284,0.42292727,0.846153846,,
47,0.536981165,0.8125,0.481063305,0.846153846,,
48,0.353385925,0.927272737,0.307771447,0.901234568,,
49,0.426360488,0.916666687,0.336832422,0.893939394,,
50,0.339488983,0.857142866,0.17224367,0.947368421,,
51,0.254879147,0.899999976,0.300428839,0.901960784,,
52,0.179414257,0.942857146,0.169884284,0.9375,,
53,0.364605755,0.902438998,0.260706291,0.88,,
54,0.362237781,0.857142866,0.245614188,0.885714286,,
55,0.587689817,0.833333313,0.203917694,0.95,,
56,0.296320051,0.844444454,0.157890542,0.976744186,,
57,0.43091774,0.860465109,0.183016019,0.948717949,,
58,0.286354005,0.90625,0.219335881,0.936170213,,
59,0.308647841,0.893617034,0.187075101,0.923076923,,
60,0.33485803,0.877551019,0.246877125,0.93877551,,
61,0.253392696,0.930232584,0.192247391,0.918918919,,
62,0.4497931,0.894736826,0.333464557,0.844827586,,
63,0.258348018,0.913043499,0.164039922,0.976744186,,
64,0.441491455,0.883333325,0.266408404,0.875,,
65,0.529276669,0.85915494,0.336558206,0.904761905,,
66,0.207240894,0.933333337,0.236336065,0.906976744,,
67,0.181943953,0.953846157,0.30229036,0.916666667,,
68,0.214623973,0.909090936,0.205244015,0.948717949,,
69,0.189268455,0.933333337,0.278543521,0.923076923,,
70,0.285063833,0.868421078,0.260509703,0.925925926,,
71,0.163832724,0.941176474,0.266328869,0.924242424,,
72,0.246122122,0.899999976,0.109386193,0.947368421,,
73,0.245855838,0.929824591,0.261215135,0.921568627,,
74,0.142548949,0.931034505,0.115477522,0.958333333,,
75,0.100166894,0.933333337,0.157656517,0.92,,
76,0.197960719,0.931034505,0.164135524,0.914285714,,
77,0.338547945,0.879999995,0.167577505,0.975,,
78,0.111683913,0.95348835,0.197518903,0.930232558,,
79,0.314755827,0.842105269,0.117800933,0.974358974,,
80,0.202260867,0.921052635,0.173728375,0.914893617,,
81,0.499231309,0.814814806,0.131263391,0.948717949,,
82,0.245855451,0.901639342,0.192750113,0.959183673,,
83,0.224291205,0.930232584,0.096148207,0.972972973,,
84,0.071107239,0.982758641,0.293559009,0.862068966,,
85,0.358430505,0.894736826,0.161564406,0.976744186,,
86,0.069222279,0.977272749,0.21822842,0.9375,,
87,0.238372028,0.880952358,0.300625665,0.928571429,,
88,0.484536231,0.789473712,0.226189946,0.906976744,,
89,0.11883276,0.941176474,0.254382769,0.916666667,,
90,0.294158399,0.89041096,0.172516163,0.948717949,,
91,0.44416678,0.840909064,0.266209284,0.923076923,,
92,0.185039803,0.913043499,0.279064437,0.913580247,,
93,0.351492643,0.882352948,0.254687598,0.878787879,,
94,0.307596534,0.915492952,0.133353836,0.947368421,,
95,0.123003669,0.959183693,0.277394613,0.882352941,,
96,0.076461054,1,0.12767911,0.9375,,
97,0.124686204,0.939999998,0.119987488,0.98,,
98,0.144118503,0.925000012,0.155716269,0.914285714,,
99,0.237842187,0.90196079,0.166888046,0.95,,
100,0.158792242,0.943396211,0.232123575,0.930232558,0.170144082,0.939393939
101,0.217610449,0.928571403,0.150855676,0.923076923,,
102,0.115725413,0.972222209,0.160604315,0.914893617,,
103,0.095417269,0.948717952,0.157245,0.923076923,,
104,0.125479579,0.943396211,0.236983708,0.959183673,,
105,0.138791278,0.947368443,0.070435601,1,,
106,0.019593846,1,0.267727852,0.879310345,,
107,0.234464169,0.875,0.174434618,0.976744186,,
108,0.254458517,0.945945919,0.188916922,0.958333333,,
109,0.041879859,0.972972989,0.280934379,0.952380952,,
110,0.297519684,0.883333325,0.218754702,0.906976744,,
111,0.229940817,0.944444418,0.214262207,0.916666667,,
112,0.027210625,1,0.169407233,0.923076923,,
113,0.169266447,0.947368443,0.261442478,0.897435897,,
114,0.029999232,1,0.335195918,0.888888889,,
115,0.205346256,0.930232584,0.283929305,0.863636364,,
116,0.046669796,0.982758641,0.134475156,0.947368421,,
117,0.063807003,0.977777779,0.287578545,0.843137255,,
118,0.124149993,0.980392158,0.10435005,0.958333333,,
119,0.059848841,0.970588207,0.106836815,0.96,,
120,0.031434633,1,0.172174508,0.914285714,,
121,0.261044264,0.911764681,0.151697302,0.975,,
122,0.090561941,0.950819671,0.274067679,0.930232558,,
123,0.047865964,0.982758641,0.169532042,0.923076923,,
124,0.028336868,0.980000019,0.178527548,0.914893617,,
125,0.053862143,0.975000024,0.168693983,0.948717949,,
126,0.444482028,0.90476191,0.302735037,0.93877551,,
127,0.106009923,0.975609779,0.063708847,0.972972973,,
128,0.008127271,1,0.289740201,0.896551724,,
129,0.246913031,0.903846145,0.187684037,0.976744186,,
130,0.290289938,0.897435904,0.185837905,0.958333333,,
131,0.01431838,1,0.288613365,0.952380952,,
132,0.100687712,0.980000019,0.232280909,0.906976744,,
133,0.043206464,1,0.225285252,0.895833333,,
134,0.013339109,1,0.196586462,0.923076923,,
135,0.027354781,0.983333349,0.289764649,0.897435897,,
